"CASE","language","scenario","question","text","robot_label"
514,"EN","am","open_3","Patient safety and well-being are paramount. The robot must support movement without causing falls, injuries, or discomfort, and caregivers must maintain oversight to intervene if necessary.

Informed consent and autonomy are also critical. Patients should understand how the robot works, what data it collects, and have the right to refuse or limit its use according to their comfort and preferences.

Data privacy and security must be addressed, as these robots collect sensitive information on patient movements, posture, and progress. Ensuring secure storage and responsible use of this data is essential.

Finally, maintaining human interaction and therapeutic engagement is an ethical priority. While robots can assist with repetitive or physically demanding tasks, they should not replace the motivation, guidance, and emotional support that therapists provide during rehabilitation.","Assisting with Mobility"
514,"EN","bed","open_1","I would accept the use of nurse robots in caregiving tasks because they can significantly reduce the physical strain on healthcare workers and help prevent injuries caused by lifting or repetitive movements. By taking over routine or physically demanding tasks, these robots allow nurses and caregivers to focus more on emotional support, medical decision-making, and patient interaction, areas where human empathy and judgment are essential.","Helping Patients into Bed"
514,"EN","bed","open_2","Yes, there are several risks and ethical concerns associated with using robots in healthcare. One major concern is patient safety: if a robot malfunctions or misinterprets a movement, it could accidentally harm the patient during lifting or transfer. Another issue is privacy, since these robots often use sensors and cameras that collect sensitive health data. Ensuring that this information is securely stored and used responsibly is essential.","Helping Patients into Bed"
514,"EN","bed","open_3","First, patient safety and dignity must always come first. Robots should be designed to handle patients gently and securely, respecting their comfort, privacy, and autonomy. Informed consent is also critical, as patients should understand how the robot works, what data it collects, and how it will be used in their care.

Second, data protection and confidentiality are major concerns. These robots often rely on sensors, cameras, or AI systems that record sensitive health information, so developers must ensure strict data encryption and compliance with healthcare privacy regulations.

Third, equity and accessibility should be addressed. The technology should not only be available to well-funded hospitals but also accessible to smaller facilities and diverse patient populations.

Lastly, it’s essential to maintain human oversight and emotional connection in care. Robots should support, not replace, the human elements of empathy, compassion, and ethical judgment that are central to healthcare practice.","Helping Patients into Bed"
514,"EN","ds","open_1","I would accept the use of supply-delivery robots in healthcare because they help reduce the physical and logistical burden on nursing staff, allowing caregivers to focus on direct patient care. In situations like high-pressure hospital shifts or infectious disease outbreaks, these robots can safely transport medications, lab samples, and sterile equipment without risking staff exposure or causing delays.

I would expect these robots to be reliable, accurate, and easy to operate, with clear protocols for scheduling and tracking deliveries. I also value their ability to integrate smoothly into existing workflows without disrupting patients or staff. Overall, I see them as supportive tools that improve efficiency and safety, rather than replacing the essential human role of healthcare workers.","Delivering Supplies"
514,"EN","ds","open_2","One concern is safety. While these robots are designed to navigate hospital environments, there is a small risk of collisions with staff, patients, or equipment, which could cause accidents or disrupt care. Another issue is reliability and dependency; if a robot malfunctions or delivers the wrong item, it could delay critical treatments or cause errors.

Data privacy and security is also important, as these robots often operate through centralized systems that track deliveries and item details. Ensuring that sensitive information is protected is essential.

Finally, ethical considerations around workforce impact arise. While robots reduce repetitive tasks, overreliance on automation could potentially diminish staff engagement or reduce opportunities for human judgment in logistical decision-making. To mitigate these risks, robots should be used as supportive tools with proper oversight, training, and safety protocols.","Delivering Supplies"
514,"EN","ds","open_3","Patient and staff safety is paramount. Robots must navigate hospital environments without causing collisions or disruptions, and there should be clear protocols for handling malfunctions or emergencies.

Reliability and accountability are also critical. Hospitals need systems in place to track deliveries accurately and assign responsibility if errors occur, such as delivering the wrong medication or sample.

Data privacy and security must be ensured, as these robots often operate through centralized systems that store sensitive information about medications, lab samples, or patient-related logistics. Secure data handling and access controls are essential.

Finally, impact on human roles and workflow should be considered. While robots reduce repetitive tasks, they should complement rather than replace the judgment, oversight, and decision-making skills of healthcare staff. Maintaining transparency, training, and proper supervision helps ensure ethical and effective implementation.","Delivering Supplies"
514,"EN","mvs","open_1","I would accept the use of robots that monitor vital signs in caregiving tasks because they can greatly improve patient safety and efficiency in healthcare settings. By continuously tracking key health indicators like heart rate, blood pressure, and oxygen levels, these robots can detect changes earlier than manual checks, allowing for faster medical responses. This constant monitoring helps prevent emergencies and reduces the workload on nurses, who can then focus on direct patient care and emotional support.","Monitoring Vital Signs"
514,"EN","mvs","open_2","Yes, there are several risks and ethical concerns to consider when using robots to monitor vital signs in healthcare. One key concern is data privacy and security: since these robots collect sensitive health information, there’s a risk of unauthorized access or data breaches if proper cybersecurity measures aren’t in place. Another concern is reliability and accuracy. If the robot malfunctions, misreads a signal, or fails to detect a change in a patient’s condition, it could delay critical care or lead to harmful outcomes.","Monitoring Vital Signs"
514,"EN","mvs","open_3","First, patient safety and accuracy are paramount. The robot must reliably measure and interpret vital signs, as errors could delay treatment or cause harm. Continuous testing, validation, and human oversight are essential to prevent mistakes.

Second, privacy and data security are critical. These robots collect sensitive personal health information, so developers must ensure that all data is encrypted, securely stored, and used only for authorized purposes, complying with healthcare privacy regulations.

Third, maintaining human interaction and empathy in care is important. While robots can assist with monitoring, they should not replace the human connection that supports patients’ emotional well-being and trust in healthcare providers.

Finally, accountability and transparency must be addressed. Clear protocols should define who is responsible for errors or malfunctions, and patients should be informed about the robot’s role, capabilities, and limitations.","Monitoring Vital Signs"
515,"ES","am","open_1","me parece una adicion util para rehabilitacion o terapia fisica","Assisting with Mobility"
515,"ES","am","open_2","me preocupa que tenga una falla y lastime a alguien","Assisting with Mobility"
515,"ES","am","open_3","deberia haber un profesional siempre presente","Assisting with Mobility"
515,"ES","bed","open_1","me da desconfianza que el robot vaya a fallar y lastmar al paciente","Helping Patients into Bed"
515,"ES","bed","open_2","me preocupa que hay muchas personas que están en contra de ser tratados con un robot. hay pacientes que se asustarian","Helping Patients into Bed"
515,"ES","bed","open_3","dberia de usarse siempre en presencia de un profesional","Helping Patients into Bed"
515,"ES","ds","open_1","me preocupa que el robot lastime a alguna persona","Delivering Supplies"
515,"ES","ds","open_2","me preocupa la privacidad","Delivering Supplies"
515,"ES","ds","open_3","deberia haber un profesional siempre presente","Delivering Supplies"
515,"ES","mvs","open_1","me preocupa que el robot cometa errores y el paciente no pueda pedirle que corrija","Monitoring Vital Signs"
515,"ES","mvs","open_2","me preocupa a privacidad de la informacion del paciente asi como la falta de contacto humano","Monitoring Vital Signs"
515,"ES","mvs","open_3","dberia de haber un profesional siempre presente","Monitoring Vital Signs"
516,"ES","am","open_1","estereotipos y siento que seria importante que sepan cuando llamr a una persona para problemas serios","Assisting with Mobility"
516,"ES","am","open_2","no, algunos grupos seguramente veran cuestiones eticas pero a mi parecer no seria riesgo o preocupacion","Assisting with Mobility"
516,"ES","am","open_3","Que todos los involucrados esten de acuerdo","Assisting with Mobility"
516,"ES","bed","open_1","Solo creo que tendria que usarse bajo supervision, pues puede que incluso superficies inestables le afecten","Helping Patients into Bed"
516,"ES","bed","open_2","No, creo que eticamente hablando es aceptable","Helping Patients into Bed"
516,"ES","bed","open_3","No en el desarrollo del robot en si, mas la educacion hacia las personas a que no les del miedo estas tecnologias y vean todas las ventajas","Helping Patients into Bed"
516,"ES","ds","open_1","Me preocuparia la seguridad, de que solo las personas correctas recibieran los suministros correctos","Delivering Supplies"
516,"ES","ds","open_2","Preocupacion etica, no, creo que no deberia haber ningun problema etico","Delivering Supplies"
516,"ES","ds","open_3","Solo lo de que si se vea mucho la seguridad de quien recibira que","Delivering Supplies"
516,"ES","mvs","open_1","No tengo porque rechazarlo, me parece muy buena idea","Monitoring Vital Signs"
516,"ES","mvs","open_2","No, no creo que haya problemas eticos","Monitoring Vital Signs"
516,"ES","mvs","open_3","Solo que sepa tratar con pacientes aunque sean dificiles","Monitoring Vital Signs"
522,"ES","am","open_1","Nos ayudaría mucho a mejorar la rehabilitación de los pacientes con menos riesgos de caídas para el paciente y menor riesgo de lesión para quienes están dando la rehabilitación","Assisting with Mobility"
522,"ES","am","open_2","Ninguno","Assisting with Mobility"
522,"ES","am","open_3","El acceso equitativo al mismo.","Assisting with Mobility"
522,"ES","bed","open_1","Que por el momento el robot se observa algo torpe, me preocuparía mucho que deje caer un paciente.","Helping Patients into Bed"
522,"ES","bed","open_2","Me preocupa sobre todo que pueda llegar a lastimar a un paciente, especialmente aquellos con problemas de demencia que puedan ponerse combativos con el robot","Helping Patients into Bed"
522,"ES","bed","open_3","Asegurar la seguridad del paciente. Aun no se ve lo suficientemente estable esta tecnología para uso a nivel hospitalario o del hogar.","Helping Patients into Bed"
522,"ES","ds","open_1","El robot parece muy lento como para permitir hacer las cosas de forma ágil.","Delivering Supplies"
522,"ES","ds","open_2","Que puedan aumentar los errores al no haber verificaciones humanas en el proceso","Delivering Supplies"
522,"ES","ds","open_3","Riesgo de pérdida de confidencialidad para los pacientes.","Delivering Supplies"
522,"ES","mvs","open_1","El robot es simpático, fácil de entender y hace una tarea que consume mucho tiempo y que realmente no requiere mucha habilidad. Solemos enviar a las estudiantes de enfermería a tomar los signos. El robot libera tiempo que ellas ahora pueden dedicar a desarrollar otras habilidades","Monitoring Vital Signs"
522,"ES","mvs","open_2","Que el robot no sea capaz de detectar una emergencia y alguien pueda salir lastimado porque no va un ser humano a verle con regularidad","Monitoring Vital Signs"
522,"ES","mvs","open_3","Que el algoritmo realmente sea capaz de detectar problemas y que alerte al personal de forma oportuna","Monitoring Vital Signs"
523,"ES","am","open_1","It is very useful and can serve as a prosthesis","Assisting with Mobility"
523,"ES","am","open_2","i dont see risk","Assisting with Mobility"
523,"ES","am","open_3","just consent","Assisting with Mobility"
523,"ES","bed","open_1","it would be usefull for the people that cant move and you need to take them to another part of the hospital or clinique 
Im excited that finally we are using the technology to not just help the patient, help the personal","Helping Patients into Bed"
523,"ES","bed","open_2","i dont see any risk","Helping Patients into Bed"
523,"ES","bed","open_3","just conserve the contact with the patients","Helping Patients into Bed"
523,"ES","ds","open_1","more personal, more time","Delivering Supplies"
523,"ES","ds","open_2","i dont see any risk","Delivering Supplies"
523,"ES","ds","open_3","just to informed the patients","Delivering Supplies"
523,"ES","mvs","open_1","I would not reject it for any reason, this is a reflection of the good use of technology","Monitoring Vital Signs"
523,"ES","mvs","open_2","any risk","Monitoring Vital Signs"
523,"ES","mvs","open_3","i dont see any problem","Monitoring Vital Signs"
524,"ES","am","open_1","Considero que este tipo de robots son súmamente necesarios y benéficos en el área de la salud, podría ayudar a muchísimos pacientes con él. Además beneficiaría también a los cuidadores que usualmente usan su propia fuerza física para este tipo de movilidades.","Assisting with Mobility"
524,"ES","am","open_2","No realmente. Tal vez podría ser el hecho de que probablemente sea muy costoso y por ende no sea accesible a la población en general y solo para la gente con dinero","Assisting with Mobility"
524,"ES","am","open_3","La accesibilidad para la gente que puede necesiatarlo","Assisting with Mobility"
524,"ES","bed","open_1","Puede ser muy útil aunque tal vez un poco lento","Helping Patients into Bed"
524,"ES","bed","open_2","No, al contrario, creo que beneficiaría a los pacientes y enfermeros para aumentar la confianza y seguridad entre ellos","Helping Patients into Bed"
524,"ES","bed","open_3","No se me ocurre alguna implicación que se deba considerar","Helping Patients into Bed"
524,"ES","ds","open_1","Considero que puede ser muy adecuado para aumentar el control sobre los insumos y la cadena de entrega, es decir, con el robot se podría saber fácilmente el estatus de las tareas y a cargo de quién están","Delivering Supplies"
524,"ES","ds","open_2","No realmente, considero que usandolo adecuadamente puede ser una herramienta que aporte al trabajo humano","Delivering Supplies"
524,"ES","ds","open_3","Sin duda la confidencialidad y el control sobre quién puede acceder o hacer uso del robot","Delivering Supplies"
524,"ES","mvs","open_1","En general creo que su implementación puede ser positiva, pero me reservo un poco porque creo que podría alentar un poco las actividades usuales de las enfermeras","Monitoring Vital Signs"
524,"ES","mvs","open_2","Únicamente el uso y almacenamiento de datos personales de los pacientes, es decir, quién tendrá acceso a esos datos? cómo se almacenarán?","Monitoring Vital Signs"
524,"ES","mvs","open_3","Solo lo mencionado arriba, ¿qué pasa con los datos personales?","Monitoring Vital Signs"
525,"ES","am","open_1","Es completamente válido y aceptable! Muchas veces el personal médico no tiene experiencia para cargar con el peso de los pacientes y mucho menos fuerza, a veces nos lastimamos en esto así que con el robot sería de muchísima ayuda mientras el personal realiza otras tareas o al no cansarse podemos realizar más!","Assisting with Mobility"
525,"ES","am","open_2","Ninguno, al no ser personas no hay nada preocupante desde el lado ético puesto que no revelará nada.","Assisting with Mobility"
525,"ES","am","open_3","No estoy segura de que haya alguna","Assisting with Mobility"
525,"ES","bed","open_1","Está incríble! Me parec tan útil, no creo que reemplazaría a nadie, solo haría el trbaajo más fácil para los camilleros y enfermeras.","Helping Patients into Bed"
525,"ES","bed","open_2","Ninguna","Helping Patients into Bed"
525,"ES","bed","open_3","Ninguna","Helping Patients into Bed"
525,"ES","ds","open_1","En cualquier sitio sería de muchisima ayuda, es eficiente y aunque no muy rápido completaría las entregas isn muchos contratiempos que normalmente suceden con las personas.","Delivering Supplies"
525,"ES","ds","open_2","Ninguno","Delivering Supplies"
525,"ES","ds","open_3","Ninguno","Delivering Supplies"
525,"ES","mvs","open_1","Está increíble, algo que le tomaría al personal unos 20 minutos al robot le tomaría menos tiempo, además tener los datos en una base de datos en vez de papel me parece muy útil para que el personas tenga acceso a ellos.","Monitoring Vital Signs"
525,"ES","mvs","open_2","Ninguna","Monitoring Vital Signs"
525,"ES","mvs","open_3","Ninguna","Monitoring Vital Signs"
527,"ES","am","open_1","Estoy a favor de uso para poder apoyat en terapias de movilidad, ayudar a personas a caminar de nuevo y darles una vida más digna pero en caso de personas que tienen problemas mentales graves donde no pueden valerse por si mismos, usar este tipo de robots tendría que ir de la mano siempre de un acompañante lo cual no representa una libertad al 100% tanto como para quien lo usa como para quien lo cuida","Assisting with Mobility"
527,"ES","am","open_2","Creo que no todas las personas tendrían la solvencia económica para acceder a este tipo de robots, no es algo alcanzable para todo el mundo","Assisting with Mobility"
527,"ES","am","open_3","Considerar cuando es más beneficioso utilizarlo o si a veces se lastima más al paciente con este robot","Assisting with Mobility"
527,"ES","bed","open_1","La mayor aportación que veo a este robot es que no compromete la condición física de los humanos tanto para el que carga al paciente como al mismo paciente ayudándonos a evitar lesiones graves por levantar pesado","Helping Patients into Bed"
527,"ES","bed","open_2","Me daría pendiente que el robot fallara de repente y soltara o lastimara al paciente que está cargando","Helping Patients into Bed"
527,"ES","bed","open_3","No creo que el robot se accecible a todos los pacientes porque supongo que habría un limite de peso, así como que hay enfermedades que requerirán extremo cuidado","Helping Patients into Bed"
527,"ES","ds","open_1","Yo creo que te ahorraría tiempo y podrías dedicarte a otras actividades laborales en esos minutos u horas que te ahorra el uso del robot. Por ejemplo, en lugar de ser tu quien lleve muestras de laboratorio a donde las analizan, pueden mandarlas con el robot y así no perderías tiempo en ir hasta el área correspondientes de análisis y seguir con tu trabajo","Delivering Supplies"
527,"ES","ds","open_2","Creo que si el robot llegase a hablar, que tuviera una voz para asistencia, y recordara las conversaciones tipo que se le implemente IA, podría haber problemas quizá con la confidencialidad del paciente y su diagnóstico porque no se sabe a ciencia cierta si el robot podría no difundir la información con personal que no tenga autorización de saberlo. De ahí en más creo que podría haber también algún riesgo de que los enfermeros o doctores abusen de su uso y dejen de hacer actividades por esperar a usar el robot cuando esté ocupado","Delivering Supplies"
527,"ES","ds","open_3","Que se diga que es lo que va transportando, que sea para uso general no para solo un área o persona, no esperar que el robot haga todo el trabajo cuando habrá ocasiones donde será necesario hacer las cosas por uno mismo","Delivering Supplies"
527,"ES","mvs","open_1","Facilitaría el trabajo de las enfermeras en la toma de signos vitales pero solamente en pacientes que por si solos puedan seguir las instrucciones del robot, creo que este robot no es para todos, no es para pacientes que no entiendan su uso por su enfermedad, no podrían interactuar con él ni hacer lo que les pide como poner su mano aquí o siemplemente voltear a ver su rostro","Monitoring Vital Signs"
527,"ES","mvs","open_2","Que haya quienes desconfien en el robot y prefieran el trato humano, que se deshumanice el cuidado y el paciente se sienta sin importancia por no ser atendido por una persona real","Monitoring Vital Signs"
527,"ES","mvs","open_3","Que se use para complementar no para hacer todo el trabajo","Monitoring Vital Signs"
529,"ES","am","open_1","Es adecuado ya que funciona precisamente como una herramienta y a su vez evita posibles accidentes tanto hacia el cuidador como hacia el paciente.","Assisting with Mobility"
529,"ES","am","open_2","Deben estar certificados y ser seguros para evitar fallos o algún mal funcionamiento que pueda causar alguna lesión al usuario (paciente)","Assisting with Mobility"
529,"ES","am","open_3","Sobre todo cuidar la integridad del paciente, que no sea lesivo.","Assisting with Mobility"
529,"ES","bed","open_1","Es demasiado lento y los movimientos no se ven seguros, realmente no creo que esté aún listo para ser implementado","Helping Patients into Bed"
529,"ES","bed","open_2","Los movimientos deben ser supervisados por una persona a cargo, no son suaves, el demasiado lento lo que podria provocar dolor en ciertos pacientes, no se ve muy seguro","Helping Patients into Bed"
529,"ES","bed","open_3","Sobre todo el trato al paciente, humano, amable, evitando dolor o el causar otro mal","Helping Patients into Bed"
529,"ES","ds","open_1","La función que cumple es importante ya que el reabastecimiento de suministros es algo que quita tiempo al personal por lo que su funcionamiento constante no solo restaria tiempo sino que podría mantener el abastecimiento constante","Delivering Supplies"
529,"ES","ds","open_2","Deben estar adecuadamente programados tanto en software como en la tarea a revisar, Y VERIFICAR LOS SUMINISTROS SEAN CORRECTOS Y LUGAR CORRECTO. Ahí hay un riesgo ¿quien ordena los suministros o quien los empaca en el robot?","Delivering Supplies"
529,"ES","ds","open_3","Sobre todo evitar entregas erroneas, a paciente, material o destino","Delivering Supplies"
529,"ES","mvs","open_1","Se pierde el trato humano y la interacción con el paciente se vuelve un vínculo solamente de obteción de datos. El humanismo se va por la vorda","Monitoring Vital Signs"
529,"ES","mvs","open_2","El riesgo ético es que el robot NO es el encargado, el encargado o personal a cargo es el médico o bien personal de enfermeria. Debería ser una herramienta de ellos más no una sustición","Monitoring Vital Signs"
529,"ES","mvs","open_3","El humanismo y evitar la autonomia ya que SIEMPRE debería estar presente el personal a cargo del paciente durante la toma de datos para explicar o aclarar dudas.","Monitoring Vital Signs"
530,"ES","am","open_1","Son muy utiles y ayudan a la correcta recuperación de los pacientes, les ayudaría a sentirse cada vez más seguros de sus movimientos.","Assisting with Mobility"
530,"ES","am","open_2","no","Assisting with Mobility"
530,"ES","am","open_3","tener instrucciones claras y detalladas para que el personal que manipule el robot no tenga problemas a futuro, asegurarse que el personal conozca la manera correcta de usar el robot.","Assisting with Mobility"
530,"ES","bed","open_1","no me da la sensación suficiente de dejar que cargue un paciente","Helping Patients into Bed"
530,"ES","bed","open_2","si, seguridad para tener cuidado al levantar al paciente.","Helping Patients into Bed"
530,"ES","bed","open_3","seguridad.","Helping Patients into Bed"
530,"ES","ds","open_1","Podría ser dificil para que los pacientes se sientan comodos, sobretodo los más grandes de edad.","Delivering Supplies"
530,"ES","ds","open_2","no, ninguno.","Delivering Supplies"
530,"ES","ds","open_3","asegurarse de que si tiene cámaras no estén grabando la privacidad del paciente o de sus familiares.","Delivering Supplies"
530,"ES","mvs","open_1","Es de mucha ayuda, es amigable con el paciente y le explica con detalle los pasos a realizar y su diseño es algo que puede gustarle a la gente y hacerle sentir más comodo y tranquilo.","Monitoring Vital Signs"
530,"ES","mvs","open_2","No, quizá solo antes tener que explicarle bien a los pacientes o familiares que un robot estará ayudando en algunas tareas.","Monitoring Vital Signs"
530,"ES","mvs","open_3","Asegurarse que el robot sea muy cuidadoso al explicar algunos pasos a seguir de los procedimientos.","Monitoring Vital Signs"
531,"ES","mvs","open_1","facilitaría el trabajo y lo haría más rápido, sin embargo es importante recibir una capacitación de uso y que una persona supervise los datos proporcionados por el robot y que aún este disponible una persona para el cuidado de los pacientes","Monitoring Vital Signs"
531,"ES","mvs","open_2","no, creo que respeta la integridad del paciente y es moralmente etico. Lo único preocupante sería alguna confusión de datos entre pacientes","Monitoring Vital Signs"
531,"ES","mvs","open_3","la confidencialidad de datos","Monitoring Vital Signs"
532,"ES","am","open_1","Son robots que pueden ayudar en la rehabilitación de pacientes y sobre todo, simulando el movimiento normal de las extremidades","Assisting with Mobility"
532,"ES","am","open_2","En realidad ninguno","Assisting with Mobility"
532,"ES","am","open_3","Un consentimiento informado firmado por parte del paciente o familiares","Assisting with Mobility"
532,"ES","bed","open_1","Lo usaría porque facilita la movilidad del paciente, así como evita que el cuidador sufra alguna lesión, en el caso de ambientes hospitalarios, en México, el camillero es el que se encarga de esta tarea, sin embargo, no siempre estan disponibles y hay que esperarlos hasta que terminen sus actividades lo que retrasa la atención o realización de estudios incluso","Helping Patients into Bed"
532,"ES","bed","open_2","Únicamente que sería bueno agregar un poco más de articulación en las manos para que el paciente se sienta más seguro","Helping Patients into Bed"
532,"ES","bed","open_3","De la misma manera, un consentimiento informado, ya que no sabemos en qué momento pueda presentar fallas y dejar caer al paciente o lesionarlo","Helping Patients into Bed"
532,"ES","ds","open_1","Me parece que si pued usarse, solamente me causa duda si la gente en mi país tiene la suficiente educación y cultura como para obstruir su paso, chocarlo, tocarlo, interrumpir su trayecto, etc.","Delivering Supplies"
532,"ES","ds","open_2","Por parte del robot, ninguna","Delivering Supplies"
532,"ES","ds","open_3","En este caso ninguna","Delivering Supplies"
532,"ES","mvs","open_1","Facilita el trabajo repetitivo que se realiza diariamente en hospitales como la toma de signos vitales cada 4 a 6 hrs, por lo que el personal de salud puede enfocarse en realizar sus demás actividades","Monitoring Vital Signs"
532,"ES","mvs","open_2","Tal vez, que a mucha gente le daría curiosidad y en el caso de los niños aún más, por lo tanto, no deberían dejarse a disposición de nadie que no sea personal de salud.","Monitoring Vital Signs"
532,"ES","mvs","open_3","Me parece que sólo un consentimiento informado, derivados de la pandemia, mucha gente cree que tomar la saturación de oxígeno es un método para robar huellas digitales, por lo que es un punto que se debería aclarar","Monitoring Vital Signs"
533,"ES","am","open_1","seria muy util con pacientes con nmovioidad limitada o nula para sus terapias","Assisting with Mobility"
533,"ES","am","open_2","no","Assisting with Mobility"
533,"ES","am","open_3","darle el uso adecuado para el cual fue realizado","Assisting with Mobility"
533,"ES","bed","open_1","ya que el personal muchas veces se lesiona por la constante movilizacion de paciente seria muy util para evitar lesiones y reducirian las incapacidades","Helping Patients into Bed"
533,"ES","bed","open_2","riesgo a caida por desconfianza del paciente","Helping Patients into Bed"
533,"ES","bed","open_3","se hagan suficientes pruebas bajo diversos escenarios y el uso adecuado del robot","Helping Patients into Bed"
533,"ES","ds","open_1","muchas veces en emergencias o procedimiento requerimos material y no nos es posible por falta de personal o y no abandonar al paciente el ir por materiales asi que esta es una buena opcion","Delivering Supplies"
533,"ES","ds","open_2","no","Delivering Supplies"
533,"ES","ds","open_3","tenerlos en constante mantenimiento","Delivering Supplies"
533,"ES","mvs","open_1","Debido a la alta demanda en pacientes seria una manera sencilla y mucho mas rapida de llevar el control de los sigos vitales ya que muchs veces estos deben de ser tomados multiples veces en el dia y conlleva una gran parte del tiempo","Monitoring Vital Signs"
533,"ES","mvs","open_2","no","Monitoring Vital Signs"
533,"ES","mvs","open_3","que se someta a pruebas de rutina de que sus medidas sean fidedignas","Monitoring Vital Signs"
534,"ES","am","open_1","Reduce la carga de trabajo del personal","Assisting with Mobility"
534,"ES","am","open_2","No ninguna","Assisting with Mobility"
534,"ES","am","open_3","Privacidad","Assisting with Mobility"
534,"ES","bed","open_1","Reduce la carga de trabajo del personal médico.","Helping Patients into Bed"
534,"ES","bed","open_2","No, todo bien.","Helping Patients into Bed"
534,"ES","bed","open_3","Privacidad y confidencialidad.","Helping Patients into Bed"
534,"ES","ds","open_1","Si lo implementan bien puede reducir la cargar laboral y el agotamiento del personal médico que en muchas ocasiones se siente rebasado.","Delivering Supplies"
534,"ES","ds","open_2","Depende la interacción que pueda tener con los pacientes, pero si tiene sus directrices en orden no le veo el problema.","Delivering Supplies"
534,"ES","ds","open_3","Que cuide la privacidad de los pacientes, que no sea inapropiado o agresivo, que no cometa errores es crucial también.","Delivering Supplies"
534,"ES","mvs","open_1","Reducir la carga de trabajo del personal médico","Monitoring Vital Signs"
534,"ES","mvs","open_2","No","Monitoring Vital Signs"
534,"ES","mvs","open_3","Privacidad y confidencialidad.","Monitoring Vital Signs"
535,"ES","am","open_1","Aceptaría su uso pues disminuye la carga de trabajo y esfuerzo físico en las principales cuidadoras del paciente intrahopitalario que son los enfermeros, además, sería de gran ayuda en casa para los cuidadores principales de los pacientes con limitaciones del movimiento. Definitivamente disminuiría el estrés y el desgaste.","Assisting with Mobility"
535,"ES","am","open_2","Honestamente no veo ningun riesgo ético, si bien no son personas, son una herramienta de ayuda que puede usarse a favor de facilitar tareas que requieran esfuerzo y fuerza sobre todo. Algo que podría verse en desventaja es la poblacion de pacientes que tendrían la oportunidad de tener acceso a un servicio de este tipo por el desvalance económico de cada familia.","Assisting with Mobility"
535,"ES","am","open_3","Siempre incoporarse con el robot el conocimiento y las limitaciones médicas, sin querer sustituir un servicio médico o de rehabilitacion por una herramienta que en este caso haría más fácil el desarrollo de actividades. Contemplando también la población de alcance de este robot por el precio.","Assisting with Mobility"
535,"ES","bed","open_1","Este robot definitamente facilitaría las tareas al cuidador, sin descuidar la parte de la guía humana para el traslado. Creo que es un robot mucho más útil","Helping Patients into Bed"
535,"ES","bed","open_2","No veo ninguna preocupacion ética, disminuiría las lesiones en los cuidadores, enfermera y camilleros que se dedican al cuidado intrahospitalario del paciente.","Helping Patients into Bed"
535,"ES","bed","open_3","Ninguna en mi opinion, no es un robot de apoyo sino más bien de carga","Helping Patients into Bed"
535,"ES","ds","open_1","No siento que sería un robot de gran utilidad pues es muy lento en mi opinión, tal vez podría usarse para el abastecimiento entre pisos para material no urgente, pero no se me hace un robot indispensable","Delivering Supplies"
535,"ES","ds","open_2","Éticamente no, si se usa como un apoyo","Delivering Supplies"
535,"ES","ds","open_3","No se me ocurre una honestamente, creo que no hay nada malo con el robot","Delivering Supplies"
535,"ES","mvs","open_1","Este robot sería aceptado para facilitar la tarea de las enfermeras para toma de signos, disminuyendo la carga de trabajo. Sin embargo, al igual que los humanos podría tener errores al no tener contacto directo con el paciente. Se usaría principalmente en pacientes estables que puedan cooperar con el robot y seguir indicaciones.","Monitoring Vital Signs"
